counts,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Santa Rosa County,30698,31085,31398,31811,33280,34058,34878,35628,35924,36198,36387,35996,36285,36302,36416,36506,36786,37164,37928,38606,703334
Sarasota County,51775,52435,52984,54463,56135,57467,59172,60824,61154,61504,60858,59897,59639,59304,59460,59221,59191,59785,60120,60303,1165691
Seminole County,90650,91968,93020,94108,95709,96378,97473,99759,100621,98598,97602,97162,96827,95715,95258,94992,95302,96195,97187,98067,1922591
Sumter County,8348,8520,8534,8297,8246,8096,8029,8144,8369,8501,8527,8527,8487,8504,8335,8360,8448,8517,8748,8956,168493
Suwannee County,8307,8344,8427,8495,8609,8658,8869,9156,9346,9480,9612,9576,9405,9514,9389,9355,9369,9284,9182,9287,181664
Taylor County,4848,4848,4717,4682,4610,4541,4542,4547,4525,4566,4586,4502,4430,4415,4364,4376,4363,4341,4350,4361,90514
Union County,2918,2962,2942,2930,2886,2941,2951,2909,2931,2954,2994,3009,3014,2970,2947,2886,2932,2949,2902,2903,58830
Volusia County,88285,89244,90052,91260,92162,93327,94906,96509,98001,98273,96364,94563,92920,91819,91392,91039,91651,93149,94496,95946,1865358
Wakulla County,5612,5791,5873,6010,6109,6116,6238,6419,6562,6756,6882,7032,6889,6809,6677,6519,6557,6643,6802,6882,129178
Walton County,8675,8749,8830,9081,9407,9690,9972,10343,10728,11072,11183,11368,11310,11258,11615,12074,12454,12881,13380,13937,218007
Washington County,4890,4924,4912,4941,4867,4839,4948,5009,5123,5242,5440,5378,5249,5182,5117,5028,4861,4921,4897,4874,100642
