,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
5,2001,Broward,13031,393653,3.310275801276759
6,2001,Calhoun,97,2935,3.3049403747870527
7,2001,Charlotte,1116,22649,4.927369861804054
8,2001,Citrus,643,20745,3.099542058327308
9,2001,Clay,813,40452,2.009789380005933
10,2001,Collier,2091,52701,3.967666647691695
11,2001,Columbia,375,14235,2.634351949420443
12,2001,Desoto,123,7478,1.6448248194704467
13,2001,Dixie,76,3037,2.5024695423114918
14,2001,Duval,7387,205937,3.5870193311546736
15,2001,Escambia,2584,68563,3.768796581246445
16,2001,Flagler,295,9727,3.032795312018094
17,2001,Franklin,28,2012,1.3916500994035785
18,2001,Gadsden,234,11699,2.00017095478246
19,2001,Gilchrist,56,3503,1.5986297459320582
20,2001,Glades,40,2398,1.6680567139282736
21,2001,Gulf,150,2777,5.401512423478573
22,2001,Hamilton,137,3142,4.360280076384469
23,2001,Hardee,190,7332,2.591380250954719
24,2001,Hendry,402,10773,3.7315510999721524
25,2001,Hernando,690,25523,2.7034439525134193
26,2001,Highlands,922,16801,5.487768585203262
27,2001,Hillsborough,9155,259085,3.5335893625644093
28,2001,Holmes,99,4327,2.2879593251675523
29,2001,Indian River,851,22183,3.8362710183473836
30,2001,Jackson,134,10181,1.3161771928101367
31,2001,Jefferson,130,2879,4.5154567558179926
32,2001,Lafayette,7,1549,0.4519044544867657
33,2001,Lake,1865,45387,4.109106131711723
34,2001,Lee,4001,90758,4.4084268053504925
35,2001,Leon,1309,50922,2.5705981697498137
36,2001,Levy,168,8194,2.050280693190139
37,2001,Liberty,22,1509,1.4579191517561298
38,2001,Madison,113,4707,2.400679838538347
39,2001,Manatee,2079,56740,3.664081776524498
40,2001,Marion,2835,56153,5.048706213381298
41,2001,Martin,1336,24145,5.533236694967902
42,2001,Miami-Dade,19419,561762,3.4568019908786995
43,2001,Monroe,305,13360,2.282934131736527
44,2001,Nassau,338,14705,2.2985379122747363
45,2001,Okaloosa,1337,42064,3.1784899201217196
46,2001,Okeechobee,207,9189,2.2526934378060726
47,2001,Orange,6615,234513,2.820739148789193
48,2001,Osecola,1269,48533,2.6147157604104425
49,2001,Palm Beach,6848,246604,2.776921704433018
50,2001,Pasco,2087,73255,2.848952289946079
51,2001,Pinellas,7099,178232,3.983010907132277
52,2001,Polk,4505,120283,3.7453339208366936
53,2001,Putnam,603,17243,3.497071275300122
54,2001,Santa Rosa,923,29984,3.078308431163287
55,2001,Sarasota,1242,44522,2.789632091999461
56,2001,Seminole,2625,31811,8.25186256326428
57,2001,St. Johns,415,54463,0.7619852009621211
58,2001,St. Lucie,1578,94108,1.6767968716793473
59,2001,Sumter,187,8297,2.2538266843437387
60,2001,Suwannee,174,8495,2.048263684520306
61,2001,Taylor,113,4682,2.4134985049124307
62,2001,Union,51,2930,1.74061433447099
63,2001,Volusia,3908,91260,4.2822704361165895
64,2001,Wakulla,176,6010,2.928452579034942
65,2001,Walton,218,9081,2.400616672172668
66,2001,Washington,77,4941,1.558388990082979
0,2002,Alachua,1327,43272,3.066648178960991
1,2002,Baker,175,6278,2.787511946479771
2,2002,Bay,1946,36003,5.405105130128045
3,2002,Bradford,115,5624,2.0448079658605973
4,2002,Brevard,5069,107137,4.731325312450414
5,2002,Broward,13175,400614,3.2887018426714993
6,2002,Calhoun,56,2923,1.9158398905234348
7,2002,Charlotte,1217,23064,5.276621574748526
8,2002,Citrus,674,20966,3.2147286082228366
9,2002,Clay,1247,41773,2.9851818160055537
10,2002,Collier,2362,55266,4.273875438786957
11,2002,Columbia,487,14332,3.3979905107451858
12,2002,Desoto,117,7616,1.5362394957983192
13,2002,Dixie,45,3083,1.4596172559195588
14,2002,Duval,6492,206873,3.1381572268976616
15,2002,Escambia,2462,67683,3.6375456170678016
16,2002,Flagler,349,10464,3.3352446483180427
17,2002,Franklin,40,2029,1.9714144898965007
18,2002,Gadsden,206,11580,1.778929188255613
19,2002,Gilchrist,40,3503,1.1418783899514702
20,2002,Glades,32,2416,1.3245033112582782
21,2002,Gulf,44,2813,1.5641663704230357
22,2002,Hamilton,87,3066,2.8375733855185907
23,2002,Hardee,234,7288,3.2107574094401756
24,2002,Hendry,425,10746,3.954959985110739
25,2002,Hernando,825,26571,3.104888788528847
26,2002,Highlands,865,17027,5.080166793915546
27,2002,Hillsborough,9202,264718,3.4761519805982215
28,2002,Holmes,123,4354,2.824988516306844
29,2002,Indian River,763,22714,3.3591617504622704
30,2002,Jackson,130,10025,1.2967581047381544
31,2002,Jefferson,86,3012,2.8552456839309426
32,2002,Lafayette,15,1593,0.9416195856873822
33,2002,Lake,1602,47711,3.3577162499214017
34,2002,Lee,4131,94495,4.371659876183926
35,2002,Leon,1222,50749,2.4079292202802027
36,2002,Levy,331,8272,4.001450676982592
37,2002,Liberty,8,1538,0.5201560468140443
38,2002,Madison,118,4546,2.5956885173779147
39,2002,Manatee,1756,58396,3.0070552777587505
40,2002,Marion,2554,57363,4.452347331903841
41,2002,Martin,1214,24722,4.910605938030903
42,2002,Miami-Dade,15301,563340,2.7161217027017432
43,2002,Monroe,592,13189,4.488588975661536
44,2002,Nassau,349,14977,2.3302397008746745
45,2002,Okaloosa,1231,42665,2.8852689558185864
46,2002,Okeechobee,185,9241,2.001947841142733
47,2002,Orange,5762,239795,2.402885798286036
48,2002,Osecola,1350,51043,2.6448288697764633
49,2002,Palm Beach,7191,252694,2.845734366466952
50,2002,Pasco,2404,76697,3.134412036976674
51,2002,Pinellas,7772,178077,4.364404162244422
52,2002,Polk,4354,121973,3.5696424618563123
53,2002,Putnam,574,17413,3.296387756274048
54,2002,Santa Rosa,1005,31430,3.197581928094177
55,2002,Sarasota,1319,45852,2.87664660211114
56,2002,Seminole,2655,33280,7.977764423076923
57,2002,St. Johns,150,56135,0.2672129687360827
58,2002,St. Lucie,1933,95709,2.0196637724769877
59,2002,Sumter,178,8246,2.158622362357507
60,2002,Suwannee,152,8609,1.7655941456615172
61,2002,Taylor,117,4610,2.537960954446855
62,2002,Union,66,2886,2.2869022869022873
63,2002,Volusia,4751,92162,5.155053058744385
64,2002,Wakulla,84,6109,1.3750204616140123
65,2002,Walton,360,9407,3.8269373870521948
66,2002,Washington,67,4867,1.3766180398602836
0,2003,Alachua,1564,42889,3.6466226771433234
1,2003,Baker,210,6248,3.3610755441741356
2,2003,Bay,1851,36358,5.091039111062215
3,2003,Bradford,86,5646,1.5232022670917464
4,2003,Brevard,5481,107868,5.0812103682278345
5,2003,Broward,11851,404205,2.9319281057879047
6,2003,Calhoun,95,3011,3.155097974094985
7,2003,Charlotte,1146,23609,4.854081070778093
8,2003,Citrus,622,21196,2.934515946404982
9,2003,Clay,1042,42734,2.43833949548369
10,2003,Collier,2303,57464,4.007726576639287
11,2003,Columbia,443,14551,3.0444642979863925
12,2003,Desoto,190,7825,2.428115015974441
13,2003,Dixie,29,3045,0.9523809523809524
14,2003,Duval,6785,207700,3.266730861819932
15,2003,Escambia,2595,66952,3.875911100489903
16,2003,Flagler,444,11424,3.8865546218487395
