,COUNTY NAME,Year,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
633,Lee,2008,12.172570492047527,0.8325449150122298,2.7333035348456067,8.606722042189693,11.745222929936304,4.966501533380514,3.368793533728163,0.5788977042748414,2.5043021566655486,5009,122778,4.079721122676701
634,Leon,2008,11.317966247844295,0.8910445922641045,5.4109078590785895,5.016013796501602,12.399113082039909,4.819813993594481,3.544869425966987,0.5989775806848977,3.2270571569352056,1568,53255,2.9443244765749688
635,Levy,2008,9.719332048811818,1.0500963391136802,5.312138728323699,3.357096981374438,9.273763648041104,4.889531149646756,3.378452151573539,0.4471740526653821,0.4759152215799615,224,8924,2.510085163603765
636,Liberty,2008,11.949768671513551,1.4441506939854594,8.48116325181758,2.024454725710509,11.372769332452082,5.60277594183741,3.6060806345009913,0.9649702577660276,1.1824190350297423,7,1788,0.39149888143176736
637,Madison,2008,9.714697406340056,1.4351585014409225,6.382564841498558,1.8969740634005765,10.229106628242077,4.642291066282421,4.255043227665706,0.4798270893371758,0.8108789625360231,84,4300,1.9534883720930232
638,Manatee,2008,12.180298184554605,0.9109444078637946,3.86480575674913,7.404548019941679,11.792493650644342,5.501175806603331,3.3144812341266108,0.6345122754209388,2.0166259053710847,2297,66288,3.465182235095342
639,Marion,2008,10.88207248044719,0.986142753129624,4.622589661084623,5.273340066232944,10.837048171548018,4.871268525260117,3.292881133006083,0.6877422082344928,1.7857058975503206,1698,65515,2.5917728764405097
640,Martin,2008,12.443536363134351,0.7136782815174775,2.7692859903915177,8.960572091225357,13.354133303882046,5.392456789441714,3.31172345242697,0.6432160804020101,3.8734330995637527,1099,26013,4.224810671587283
641,Monroe,2008,16.433508729968906,1.1339392489834967,2.7724228653432195,12.527146615642192,17.590289404448693,7.3554173642669225,4.709638842382205,0.6314278880650562,4.450251136091844,376,11154,3.3709879863726018
642,Nassau,2008,10.602491199566748,0.6130517194692662,3.9630833107681203,6.026356169329362,9.665312753858652,4.502121130065889,3.5573607726329093,0.4309955772181605,1.1509161476667569,323,15942,2.0260945928992595
643,Okaloosa,2008,10.037912608225108,0.8257913961038961,3.9061823593073592,5.305938852813854,10.850615530303033,5.391977813852813,2.7045792748917745,0.5254329004329005,2.095610119047619,1373,41223,3.3306649200688936
644,Okeechobee,2008,9.621998010515846,0.9995736819667472,5.465397186300981,3.1570271422481166,9.7596987352565,4.835725451186585,2.9832314906920563,0.5138553360807162,1.4139548102884751,294,9627,3.0539108756622007
645,Orange,2008,11.337201823798967,0.8916171859746643,4.1735480240263705,6.272036613797934,11.668328145995796,5.119781557579446,3.281637973607745,0.4781902125851317,2.3852373350484086,6574,267682,2.4558991639333243
646,Pasco,2008,10.765479385951684,0.82997557076937,5.7082516512350345,4.2272521639472815,11.314156889947824,4.820520553729228,3.1366528938082454,0.4975570769369967,2.304882830171608,2057,98877,2.080362470544212
647,Pinellas,2008,11.22442813183554,0.87190894598302,4.21331516701887,6.139204018833648,10.433016349683015,5.3813535757980215,3.2263003744485226,0.5537296555815074,1.247970192414637,6175,166604,3.706393603995102
648,Polk,2008,13.307693126197064,0.8820068099595658,6.510023409236008,5.915662907001491,12.750766120451159,7.605298999787188,2.8006277931474783,0.5305384124281762,1.5997233453926367,4213,142489,2.9567194660640466
649,Putnam,2008,9.803217612193057,1.1680779000846742,5.620660457239628,3.0144792548687547,9.966807790008467,5.205588484335308,3.359525825571549,0.6034716342082981,0.7824724809483489,424,17466,2.4275735715103632
650,Sarasota,2008,14.908099873848569,0.7029966915002499,2.7167067336300668,11.488396448718252,14.680717873039296,6.5182443529383765,3.942541594268441,0.5963154261776117,3.5496393973293983,1551,62577,2.4785464307972584
651,Seminole,2008,9.689803909572028,0.6134938358469211,4.55615038698033,4.520159686744776,9.587124109027501,5.090167946403988,2.620208632873444,0.4123405426902016,1.2677965064700665,3077,36387,8.456316816445433
652,Sumter,2008,10.14798564020742,0.8673048796702566,3.03576652040952,6.244914240127642,10.965297167929798,5.638345964632362,2.7972344103177766,0.4887647919159686,1.8173115277223773,389,8527,4.561979594230093
653,Suwannee,2008,9.245156980627922,1.1713426853707414,5.3415163660654645,2.732297929191717,9.068637274549099,4.849699398797595,2.9498997995991982,0.5534402137608551,0.6973947895791583,114,9612,1.1860174781523096
654,Taylor,2008,10.169126328217235,1.5670011806375443,4.959858323494687,3.6422668240850062,10.512691853600943,5.066115702479339,3.7491145218417943,0.9940968122786304,0.7033648170011806,140,4586,3.052769297863062
655,Union,2008,10.132839721254356,1.149390243902439,7.335365853658537,1.6480836236933798,9.613675958188152,5.0043554006968645,3.3066202090592336,0.6559233449477352,0.5544425087108014,40,2994,1.3360053440213762
656,Volusia,2008,11.067578464210396,0.7914650787743456,4.0434654509366075,6.232647934499441,11.605414960922964,5.2763459868502665,3.081503535541496,0.4762436422280114,2.319888971591614,2912,96364,3.021875389149475
657,Wakulla,2008,12.949604170689325,0.6815987642402008,9.300444101177831,2.967561305271288,11.746476153697625,4.582737980305078,3.076462637574821,0.4031666344854219,3.6385402587372084,129,6882,1.874455100261552
658,Walton,2008,13.590922148807811,0.8035047400172364,2.3860959494398157,10.40132145935076,15.741166331513933,5.836253950014362,3.8095374892272336,0.6025567365699511,5.362683137029589,228,11183,2.038808906375749
659,Washington,2008,13.799776910206358,1.5437813720022309,8.802565532626883,3.4534300055772453,12.4138315672058,6.005298382598996,4.098159509202453,1.6012269938650308,0.7052426101505856,99,5440,1.8198529411764708
660,Alachua,2001,7.403136779752288,0.8223276790522348,3.8991989768443727,2.6816101238556813,7.244345718901454,3.2301763597199784,2.4866383952611737,0.4341680129240711,0.8314149165320409,2403,43498,5.524391926065567
661,Baker,2001,6.297634691195794,0.7003942181340341,4.487078405606659,1.1101620674551032,6.513359614542268,2.8554533508541398,2.367279894875164,0.4597021462987298,0.8090232150678931,170,6129,2.7736988089410994
662,Bay,2001,7.540477577169483,0.7564356435643564,3.7977480100951273,2.986293923509998,8.799301106581249,3.471636575422248,2.1644729178800235,0.5140749369054552,2.428654630168899,1780,35816,4.969845878936788
663,Bradford,2001,6.938476327805816,0.9452054794520548,4.376111511655852,1.6171593366979091,7.19490507089642,3.3556837298726268,2.4080749819754868,0.5383321316991108,0.8759913482335977,96,5700,1.6842105263157894
664,Brevard,2001,6.917588566086378,0.485105599388076,3.791804184313781,2.6406787823845206,6.724407552728869,3.33182713146451,1.9710044336161596,0.33358358003881183,0.9417963936144595,4835,106178,4.5536740191000025
665,Broward,2001,7.812439025361468,0.5215208120129495,4.320520529289728,2.9703976840587907,7.324741467532622,3.2615866745776074,2.358289962529218,0.475253754046725,1.0995822863946418,13031,393653,3.310275801276759
666,Calhoun,2001,6.375896057347671,0.7585125448028673,4.596774193548387,1.0206093189964158,6.428763440860215,3.3315412186379927,2.0685483870967745,0.5183691756272402,0.5103046594982079,97,2935,3.3049403747870527
667,Charlotte,2001,7.927955736750145,0.5594059405940595,2.8942341292952825,4.474315666860804,7.5606872451951075,3.2569015725101917,2.3594641817122888,0.4844496214327315,1.3551543389633078,1116,22649,4.927369861804054
668,Citrus,2001,7.333179814461478,0.6103691032304757,3.279755247055727,3.443055464175275,6.824725310875715,3.2296203697611685,2.3225212185012167,0.38160405289821697,0.8698598592012632,643,20745,3.0995420583273083
669,Clay,2001,6.597510225858081,0.34518940067579584,4.335977236350701,1.9163435888315845,6.516805975457942,3.2234038769340216,2.0058687533345188,0.2655521963364752,0.9127867686288458,813,40452,2.009789380005933
670,Collier,2001,9.214220974768297,0.7494664210741748,1.5201590503756983,6.944595503318423,8.42107417477999,3.9271116568722033,2.441247843756396,0.4715960588252493,1.353243867497003,2091,52701,3.9676666476916953
