,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
394,SUMTER COUNTY SCHOOL DISTRICT,2012,8.983560236321603,0.9960184947341382,1.8225019265348061,6.165039815052658,9.440148985358336,5.54020035961983,2.581813511430773,0.417159003339327,0.6959928076033907
395,SUWANNEE COUNTY SCHOOL DISTRICT,2012,8.2509900990099,1.4156765676567657,4.207260726072607,2.628052805280528,8.71023102310231,4.850990099009901,2.904620462046205,0.6567656765676567,0.28234323432343233
396,TAYLOR COUNTY SCHOOL DISTRICT,2012,9.260341431385424,2.046946815495732,3.474392646093237,3.7390019697964543,9.391004596191728,4.328627708470124,3.5804333552199608,0.9290873276428102,0.5528562048588312
397,UNION COUNTY SCHOOL DISTRICT,2012,8.2,1.0354767184035476,5.646119733924612,1.5184035476718403,8.699334811529933,4.85809312638581,2.9011086474501107,0.6838137472283814,0.2385809312638581
398,VOLUSIA COUNTY SCHOOL DISTRICT,2012,8.894301410831545,1.0259898576165398,3.4361712502438073,4.432140302971198,9.14979520187244,4.887702360054613,2.8677101618880436,0.45401794421689096,0.5779045575710292
399,WAKULLA COUNTY SCHOOL DISTRICT,2012,8.234731707317072,0.8770731707317073,4.9125853658536585,2.4450731707317073,8.343024390243903,4.1726829268292684,3.0835121951219513,0.4031219512195122,0.6569756097560976
400,WALTON COUNTY SCHOOL DISTRICT,2012,10.402535657686212,1.0620707871104067,1.7167194928684628,7.623745377707343,10.559165346011621,5.454437400950872,3.5439778129952457,0.6133122028526149,0.8118066561014263
401,WASHINGTON COUNTY SCHOOL DISTRICT,2012,10.519570890113076,2.034212815308785,5.340098579298347,3.1452594955059436,11.835314583937373,5.414902870397216,4.091040881414903,1.8051609162075963,0.5213105247897941
402,ALACHUA COUNTY SCHOOL DISTRICT,2014,9.289448449763825,1.2664346343715596,3.990162304222751,4.032851511169514,9.38608516532301,4.931633341620201,3.476719821003658,0.5959441701885855,0.29307099477927334
403,BAKER COUNTY SCHOOL DISTRICT,2014,8.44272818455366,0.9462387161484453,5.726579739217653,1.7699097291875627,8.690672016048145,4.565496489468405,3.2834503510531596,0.5432296890672016,0.2732196589769308
404,BAY COUNTY SCHOOL DISTRICT,2014,9.322404169593021,0.934535910989539,3.5870328614201754,4.800835397183307,9.592023065833734,5.228107788415333,2.5255979004176985,0.5726906442908365,0.8325509185672568
405,BRADFORD COUNTY SCHOOL DISTRICT,2014,9.238653905526396,1.3179993825254708,5.122259956776783,2.798394566224143,10.725841309046002,5.098795924668107,3.7440568076566842,0.9499845631367706,0.9240506329113924
406,BREVARD COUNTY SCHOOL DISTRICT,2014,8.897574123989218,0.9838134546271339,4.382187780772687,3.531572888589398,8.722751010781671,4.947256850853549,2.7288016621743036,0.4475516621743037,0.2821344339622642
407,BROWARD COUNTY SCHOOL DISTRICT,2014,9.268843321937366,1.0075342830819367,3.6930855154454707,4.568223523409958,9.550512818560453,5.446445295546435,2.744805189860888,0.6382440056954459,0.35512019066038236
408,CALHOUN COUNTY SCHOOL DISTRICT,2014,9.209833187006145,1.094381035996488,6.12379280070237,1.991659350307287,9.536874451273047,5.065408252853381,3.3678665496049165,0.625548726953468,0.47805092186128184
409,CHARLOTTE COUNTY SCHOOL DISTRICT,2014,10.032648794884407,1.310378750614855,2.074889326119036,6.647380718150517,10.561854402361043,5.116822429906542,3.4538858829316283,0.6706837186424004,1.097208558780128
