Combined Mathematics (FSA Mathematics and FSA EOCs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied filters: Grade Level equal to 09-Ninth, 10-Tenth, 11-Eleventh, 12-Twelfth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
,,% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4)
District,Grade Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-ORANGE,09-Ninth,7.4%,"13,523","5,277",42.6%,18.4%,39.0%,15.1%,7.7%,7.6%,"14,077","6,539",36.8%,16.7%,46.5%,18.0%,10.3%,7.3%,"14,270","6,281",40.1%,15.8%,44.0%,16.2%,8.9%,6.3%,"10,142","4,913",35.7%,15.9%,48.4%,17.6%,11.3%
48-ORANGE,10-Tenth,4.5%,"11,510","3,791",53.2%,13.8%,32.9%,12.1%,7.6%,4.5%,"11,504","4,283",44.0%,18.8%,37.2%,12.4%,7.9%,2.8%,"12,432","3,324",52.3%,21.0%,26.7%,6.8%,4.0%,4.6%,"4,178","1,701",37.8%,21.5%,40.7%,11.9%,7.3%
48-ORANGE,11-Eleventh,1.9%,"7,844","2,550",45.7%,21.8%,32.5%,7.3%,5.4%,1.9%,"6,773","1,580",56.4%,20.3%,23.3%,5.4%,3.5%,2.8%,"5,687","1,016",66.4%,15.8%,17.9%,5.7%,2.9%,5.0%,"1,092",300,58.9%,13.6%,27.5%,10.4%,5.4%
48-ORANGE,12-Twelfth,1.6%,"1,195",207,66.6%,16.1%,17.3%,3.8%,2.3%,2.7%,"1,057",254,57.3%,18.6%,24.0%,7.3%,4.5%,5.4%,"1,352",382,57.2%,14.5%,28.3%,10.9%,5.5%,6.1%,656,197,57.3%,12.7%,30.0%,13.4%,7.3%
49-OSCEOLA,09-Ninth,9.1%,"3,371","2,146",19.8%,16.6%,63.7%,24.7%,15.5%,9.1%,"3,618","2,155",24.0%,16.4%,59.6%,21.6%,12.5%,6.5%,"4,795","2,264",38.5%,14.3%,47.2%,17.2%,10.7%,4.4%,"4,496","1,993",41.7%,14.0%,44.3%,14.1%,9.7%
49-OSCEOLA,10-Tenth,3.6%,"3,985","1,374",43.7%,21.8%,34.5%,8.8%,5.2%,4.4%,"4,512","1,600",44.3%,20.2%,35.5%,10.4%,5.9%,4.9%,"4,712","1,771",41.9%,20.5%,37.6%,11.3%,6.3%,1.4%,"3,478",973,51.7%,20.4%,28.0%,6.5%,5.1%
49-OSCEOLA,11-Eleventh,0.8%,"2,149",293,67.3%,19.0%,13.6%,2.7%,2.0%,0.9%,"1,984",304,65.4%,19.3%,15.3%,3.1%,2.2%,1.6%,"2,647",517,61.8%,18.6%,19.5%,3.8%,2.2%,0.8%,"1,339",198,68.0%,17.3%,14.8%,2.7%,1.9%
49-OSCEOLA,12-Twelfth,1.4%,211,23,69.2%,19.9%,10.9%,2.4%,0.9%,1.1%,376,39,77.7%,12.0%,10.4%,2.4%,1.3%,0.7%,403,60,67.2%,17.9%,14.9%,3.5%,2.7%,1.3%,397,52,73.3%,13.6%,13.1%,3.8%,2.5%
50-PALM BEACH,09-Ninth,9.7%,"12,505","7,220",27.5%,14.8%,57.7%,24.2%,14.6%,10.9%,"12,480","7,512",25.7%,14.1%,60.2%,25.6%,14.7%,15.3%,"12,419","7,901",23.9%,12.4%,63.6%,31.4%,16.1%,13.6%,"10,876","7,067",22.1%,12.9%,65.0%,31.5%,17.9%
50-PALM BEACH,10-Tenth,4.9%,"10,435","4,768",31.8%,22.5%,45.7%,13.3%,8.3%,5.9%,"11,319","4,954",36.5%,19.7%,43.8%,14.0%,8.1%,7.9%,"11,381","5,411",33.9%,18.5%,47.5%,17.3%,9.4%,4.0%,"7,899","3,332",38.6%,19.3%,42.2%,13.0%,9.0%
50-PALM BEACH,11-Eleventh,1.2%,"6,356","1,315",56.8%,22.5%,20.7%,3.5%,2.2%,2.1%,"6,331","1,430",56.6%,20.8%,22.6%,5.4%,3.3%,3.7%,"6,302","1,897",50.2%,19.7%,30.1%,8.4%,4.7%,2.5%,"2,649",550,60.6%,18.6%,20.8%,6.2%,3.7%
50-PALM BEACH,12-Twelfth,0.2%,"1,322",130,76.0%,14.1%,9.8%,1.4%,1.1%,2.4%,"1,482",216,69.8%,15.6%,14.6%,4.9%,2.5%,3.1%,"1,853",368,64.5%,15.6%,19.9%,6.2%,3.1%,4.1%,"1,012",205,66.9%,12.8%,20.3%,7.8%,3.8%
